Customer,Invoice,Invoice Date,Transaction Type,Transaction Date,Amount,Open Balance
81885200,76392,8/19/15,INV,8/19/15,2601.67,2601.67
81885200,76401,8/21/15,INV,8/21/15,4650.13,4650.13
81885200,76407,8/24/15,INV,8/24/15,3097.37,3097.37
81885200,76427,8/26/15,INV,8/26/15,5547.42,5547.42
81885200,76428,8/26/15,INV,8/26/15,3794.66,3794.66
81885200,76429,8/26/15,INV,8/26/15,4638.8,4638.8
81885200,76430,8/26/15,INV,8/26/15,3599.2,3599.2
81885200,76443,8/27/15,INV,8/27/15,3562.5,3562.5
81885200,76444,8/27/15,INV,8/27/15,3805.9,3805.9
81885200,76453,8/28/15,INV,8/28/15,5432.27,5432.27
81885200,76454,8/28/15,INV,8/28/15,3545.54,3545.54
81885200,76455,8/28/15,INV,8/28/15,3351.14,3351.14
81885200,76465,8/31/15,INV,8/31/15,3410.42,3410.42
81885200,76466,8/31/15,INV,8/31/15,3467.78,3467.78
81885200,76483,9/01/15,INV,9/01/15,5118.46,5118.46
81885200,76484,9/01/15,INV,9/01/15,5171.4,5171.4
81885200,76493,9/02/15,INV,9/02/15,5774.75,5774.75
81885200,76494,9/02/15,INV,9/02/15,2614.61,2614.61
81885200,76515,9/04/15,INV,9/04/15,3547.24,3547.24
81885200,76534,9/09/15,INV,9/09/15,4094.24,4094.24
81885200,76573,9/14/15,INV,9/14/15,5987.59,5987.59
81885200,76574,9/14/15,INV,9/14/15,3348.86,3348.86
81916600,76395,8/20/15,INV,8/20/15,996.8,996.8
81916600,76396,8/20/15,INV,8/20/15,29108.63,29108.63
81916600,76527,9/08/15,INV,9/08/15,4510.17,4510.17
81916600,76528,9/08/15,INV,9/08/15,39073.94,39073.94
81935000,76456,8/28/15,INV,8/28/15,800.0,800.0
81948300,76457,8/28/15,INV,8/28/15,4852.92,4852.92
82072200,76367,8/17/15,INV,8/17/15,3538.31,3538.31
82072200,76368,8/17/15,INV,8/17/15,378.0,378.0
82072200,76369,8/17/15,INV,8/17/15,1058.4,1058.4
82072200,76408,8/24/15,INV,8/24/15,315.0,315.0
82072200,76409,8/24/15,INV,8/24/15,1764.12,1764.12
82072200,76410,8/24/15,INV,8/24/15,31.5,31.5
82072200,76411,8/24/15,INV,8/24/15,2600.0,2600.0
82072200,76445,8/27/15,INV,8/27/15,75.0,75.0
82072200,76458,8/28/15,INV,8/28/15,3872.22,3872.22
82072200,76467,8/31/15,INV,8/31/15,876.8,876.8
82072200,76468,8/31/15,INV,8/31/15,1814.56,1814.56
82072200,76529,9/08/15,INV,9/08/15,781.2,781.2
82072200,76535,9/09/15,INV,9/09/15,3708.81,3708.81
82072200,76536,9/09/15,INV,9/09/15,1858.5,1858.5
82072200,76537,9/09/15,INV,9/09/15,538.25,538.25
82072200,76538,9/09/15,INV,9/09/15,4511.43,4511.43
82072200,76539,9/09/15,INV,9/09/15,446.7,446.7
82072200,76540,9/09/15,INV,9/09/15,441.0,441.0
82072200,76541,9/09/15,INV,9/09/15,1800.62,1800.62
82072200,76542,9/09/15,INV,9/09/15,22500.0,22500.0
82072200,76575,9/14/15,INV,9/14/15,7001.97,7001.97
82117000,76283,8/05/15,INV,8/05/15,4706.52,4706.52
82117000,76402,8/21/15,INV,8/21/15,4621.85,4621.85
82126100,76576,9/14/15,INV,9/14/15,5070.0,5070.0
82187500,76485,9/01/15,INV,9/01/15,2829.18,2829.18
82187500,76495,9/02/15,INV,9/02/15,27666.7,27666.7
82187500,76516,9/04/15,INV,9/04/15,12299.64,12299.64
82187500,76577,9/14/15,INV,9/14/15,22336.76,22336.76
82469000,76518,9/04/15,INV,9/04/15,3370.5,3370.5
82474000,76413,8/24/15,INV,8/24/15,3784.5,3784.5
82474000,76497,9/02/15,INV,9/02/15,492.5,492.5
82497600,76108,7/13/15,INV,7/13/15,9249.24,9249.24
82497600,76498,9/02/15,INV,9/02/15,3027.96,3027.96
82497600,76499,9/02/15,INV,9/02/15,3085.68,3085.68
82510000,76254,7/31/15,INV,7/31/15,2289.69,2289.69
82510000,76350,8/14/15,INV,8/14/15,691.85,691.85
82510000,76543,9/09/15,INV,9/09/15,225.09,225.09
82532400,76351,8/14/15,INV,8/14/15,5818.5,5818.5
82553500,76459,8/28/15,INV,8/28/15,9423.35,9423.35
82561000,76460,8/28/15,INV,8/28/15,79.11,79.11
82582500,76544,9/09/15,INV,9/09/15,8142.98,8142.98
82660000,74927,1/21/15,INV,1/21/15,5162.85,103.26
82660000,75088,2/18/15,INV,2/18/15,2478.73,2478.73
82712500,74171,10/01/14,INV,10/01/14,3549.25,346.9
82790500,76040,6/24/15,INV,6/24/15,20908.01,20908.01
82790500,76403,8/21/15,INV,8/21/15,6365.15,6365.15
82790500,76404,8/21/15,INV,8/21/15,3188.28,3188.28
82790500,76486,9/01/15,INV,9/01/15,12792.24,12792.24
82791600,76235,7/29/15,INV,7/29/15,3563.1,3563.1
82796000,76446,8/27/15,INV,8/27/15,18070.32,18070.32
82796000,76558,9/11/15,INV,9/11/15,5187.0,5187.0
82835000,76381,8/18/15,INV,8/18/15,1826.28,1826.28
82835000,76559,9/11/15,INV,9/11/15,3045.0,3045.0
82867600,76110,7/13/15,INV,7/13/15,28809.69,28809.69
82867600,76192,7/23/15,INV,7/23/15,22463.77,22463.77
82867600,76325,8/12/15,INV,8/12/15,6708.28,6708.28
82877500,76141,7/16/15,INV,7/16/15,35758.58,35758.58
82877500,76186,7/22/15,INV,7/22/15,29239.48,29239.48
82877500,76236,7/29/15,INV,7/29/15,20644.0,20644.0
82877500,76284,8/05/15,INV,8/05/15,14882.37,14882.37
82877500,76385,8/19/15,INV,8/19/15,30020.27,30020.27
82877500,76420,8/25/15,INV,8/25/15,9052.86,9052.86
82877500,76500,9/02/15,INV,9/02/15,30021.82,30021.82
82917000,76421,8/25/15,INV,8/25/15,5247.26,5247.26
82963300,76431,8/26/15,INV,8/26/15,4496.28,4496.28
83030700,76397,8/20/15,INV,8/20/15,6272.89,6272.89
83030700,76560,9/11/15,INV,9/11/15,7291.18,7291.18
83032500,76370,8/17/15,INV,8/17/15,3319.64,3319.64
83032500,76382,8/18/15,INV,8/18/15,3488.21,3488.21
83032500,76383,8/18/15,INV,8/18/15,4629.24,4629.24
83032500,76386,8/19/15,INV,8/19/15,3436.0,3436.0
83032500,76387,8/19/15,INV,8/19/15,4301.7,4301.7
83032500,76393,8/19/15,INV,8/19/15,5304.83,5304.83
83032500,76394,8/19/15,INV,8/19/15,4949.97,4949.97
83032500,76414,8/24/15,INV,8/24/15,3168.29,3168.29
83032500,76415,8/24/15,INV,8/24/15,3162.36,3162.36
83032500,76416,8/24/15,INV,8/24/15,3765.25,3765.25
83032500,76422,8/25/15,INV,8/25/15,2236.38,2236.38
83032500,76423,8/25/15,INV,8/25/15,3513.3,3513.3
83032500,76432,8/26/15,INV,8/26/15,5236.78,5236.78
83032500,76433,8/26/15,INV,8/26/15,4992.74,4992.74
83032500,76434,8/26/15,INV,8/26/15,3456.78,3456.78
83032500,76435,8/26/15,INV,8/26/15,3457.0,3457.0
83032500,76436,8/26/15,INV,8/26/15,4274.82,4274.82
83032500,76447,8/27/15,INV,8/27/15,2818.44,2818.44
83032500,76448,8/27/15,INV,8/27/15,3306.57,3306.57
83032500,76469,8/31/15,INV,8/31/15,3633.76,3633.76
83032500,76470,8/31/15,INV,8/31/15,3334.85,3334.85
83032500,76471,8/31/15,INV,8/31/15,4896.7,4896.7
83032500,76472,8/31/15,INV,8/31/15,3098.7,3098.7
83032500,76487,9/01/15,INV,9/01/15,3660.04,3660.04
83032500,76488,9/01/15,INV,9/01/15,2739.78,2739.78
83032500,76489,9/01/15,INV,9/01/15,2829.31,2829.31
83032500,76501,9/02/15,INV,9/02/15,5194.08,5194.08
83032500,76502,9/02/15,INV,9/02/15,5983.62,5983.62
83032500,76503,9/02/15,INV,9/02/15,3971.64,3971.64
83032500,76519,9/04/15,INV,9/04/15,2877.44,2877.44
83032500,76520,9/04/15,INV,9/04/15,3802.43,3802.43
83032500,76521,9/04/15,INV,9/04/15,3534.7,3534.7
83032500,76530,9/08/15,INV,9/08/15,3368.87,3368.87
83032500,76561,9/11/15,INV,9/11/15,3337.77,3337.77
83032500,76562,9/11/15,INV,9/11/15,3436.88,3436.88
83032500,76563,9/11/15,INV,9/11/15,3945.38,3945.38
83032500,76564,9/11/15,INV,9/11/15,3532.79,3532.79
83032500,76579,9/14/15,INV,9/14/15,3025.2,3025.2
83032500,76580,9/14/15,INV,9/14/15,3287.67,3287.67
83281000,76058,6/25/15,INV,6/25/15,37774.28,69.12
83281000,76058,6/25/15,INV,7/14/15,3675.6,69.12
83281000,76405,8/21/15,INV,8/21/15,39523.08,39523.08
83398800,76335,8/13/15,INV,8/13/15,46377.0,46377.0
83630500,76296,8/07/15,INV,8/07/15,5800.0,5800.0
83630500,76326,8/12/15,INV,8/12/15,1620.0,1620.0
83633500,67940,5/01/12,INV,5/01/12,9481.62,981.62
83637500,76359,8/14/15,INV,8/14/15,13191.44,13191.44
83637500,76437,8/26/15,INV,8/26/15,12518.26,12518.26
83637500,76522,9/04/15,INV,9/04/15,11842.73,11842.73
83663000,76473,8/31/15,INV,8/31/15,3476.6,3476.6
83663000,76565,9/11/15,INV,9/11/15,3288.7,3288.7
83706500,76523,9/04/15,INV,9/04/15,6288.14,6288.14
83767000,76261,7/31/15,INV,7/31/15,9595.95,9595.95
83832500,76188,7/22/15,INV,7/22/15,8665.96,8665.96
83832500,76474,8/31/15,INV,8/31/15,12456.5,12456.5
83832500,76566,9/11/15,INV,9/11/15,7700.0,7700.0
83832500,76567,9/11/15,INV,9/11/15,3300.0,3300.0
